Inner HTML: ""
Inner HTML: ""
Inner HTML: ""
Inner HTML: ""
Inner HTML: ""
,,,,
Name,Location,License Type,Priority/Expedited Status,Executive Summary
"Patient Centric of Martha's Vineyard, Ltd. d/b/a Island Time","15 Mechanics St, Tisbury, MA 02568",Retailer,General," Patient Centric of Martha's Vineyard, Ltd. d/b/a Island Time Executive Summary"
Patriot Care Corp.,"170 Lincoln Street, Lowell, MA 01852","Cultivation, Tier 6 – Indoor",MTC,Patriot Care Corp Executive Summary
Patriot Care Corp.,"170 Lincoln Street, Lowell, MA 01852",Product Manufacturer,MTC,Patriot Care Corp Executive Summary
Patriot Care Corp. ,"21 Milk Street, Boston, MA 02109 ",Retailer,MTC,Patriot Care Corp. Executive Summary
Patriot Care Corp.,"70 Industrial Avenue East, Lowell, MA 01852",Retailer,MTC,Patriot Care Corp Executive Summary
Patriot Care Corp.,"7 Legion Avenue, Greenfield, MA 01301",Retailer,MTC,Patriot Care Corp Executive Summary
Pharmacannis Massachusetts d/b/a Verilife,"112 Main Street, Wareham, MA 02571",Retailer,MTC,Pharmacannis Executive Summary
Pharmacannis Massachusetts d/b/a Verilife,"939 Boston Turnpike, Shrewsbury, MA 01545",Retailer,MTC,Pharmacannis Executive Summary
"Pioneer Valley Extracts, LLC","351 Pleasant Street, Northampton, MA 01060",Product Manufacturer,General,"Pioneer Valley Extracts, LLC Executive Summary"
"Platinum HydroLab, Inc. ","740 Dutton Street, Lowell, MA 01854","Cultivation, Tier 1 –Indoor ",General,"Platinum HydroLab, Inc. Executive Summary"
"Platinum HydroLab, Inc. ","740 Dutton Street, Lowell, MA 01854",Product Manufacturer,General,"Platinum HydroLab, Inc. Executive Summary"
"Pleasantrees, Inc.
","422 Amity Street, Amherst, MA 01002",Retailer,General,"Pleasantrees, Inc. Executive Summary"
"Pleasantrees, Inc.
f/k/a Herbology Group, Inc.","195 Northampton Street, Easthampton, MA 01027",Retailer,MTC,"Pleasantrees, Inc.
f/k/a Herbology Group, Inc. Executive Summary"
"ProVerde Laboratories, Inc. ","420 Fortune Blvd., Milford, MA 01757 01027",Independent Testing Laboratory,"DBE, Independent Testing Laboratory"," ProVerde Laboratories, Inc. Executive Summary"
"Pure Industries, Inc. d/b/a Smyth Cannabis","181 Stedman Street, Lowell, MA 01851","Cultivation, Tier 2 – Indoor",General,"Pure Industries, Inc. d/b/a Smyth Cannabis Executive Summary"
"Pure Lowell, Inc. d/b/a Smyth Cannabis Co. ","673-681 Rogers Street, Lowell, MA 01852",Retailer,General,"Pure Lowell, Inc. d/b/a Smyth Cannabis Co. Executive Summary"
"Pure Oasis, LLC","430 Blue Hill Avenue, Boston, MA 02121",Retailer,EEA,Pure Oasis LLC Executive Summary
"QPS Massachusetts Holdings, LLC d/b/a Cloud Cover","105 Constitution Boulevard, Franklin, MA 02038","Cultivation, Tier 3 – Indoor",General,"QPS Massachusetts Holdings, LLC d/b/a Cloud Cover Executive Summary"
"QPS Massachusetts Holdings, LLC d/b/a Cloud Cover","105 Constitution Boulevard, Franklin, MA 02038",Product Manufacturer,General,"QPS Massachusetts Holdings, LLC d/b/a Cloud Cover Executive Summary"
"RC Retail Amherst, LLC d/b/a Red Cardinal","328 College Street, Amherst, MA 01002",Retailer,General,"RC Retail Amherst, LLC d/b/a Red Cardinal Executive Summary"
"Regenerative, LLC","30 Noonan Way, Uxbridge, MA 01569","Cultivation, Tier 10 – Outdoor",Outdoor Cultivator,"Regenerative, LLC Executive Summary"
"Regenerative, LLC","30 Noonan Way, Uxbridge, MA 01569",Product Manufacturing,General,"Regenerative, LLC Executive Summary"
"ReLeaf Alternative, Inc.","321 School Street, Mansfield, MA 02048",Retailer,General,"ReLeaf Alternative, Inc. Executive Summary"
"Resinate, Inc.","1191 Millbury Street, Worcester, MA 01607",Retailer,MTC,"Resinate, Inc. Executive Summary"
"Resinate, Inc.","110 Pleasant Street, Northampton, MA 01060",Retailer,MTC,"Resinate, Inc. Executive Summary"
"Resinate, Inc.","120 Gilboa Street, Douglas, MA 01516","Cultivation, Tier 3 – Indoor",MTC,"Resinate, Inc. Executive Summary"
"Reverie 73 Lowell, LLC","1148 Bridge Street, Lowell, MA 01852",Retailer,General,"Reverie 73 Lowell, LLC Executive Summary"
Revolutionary Clinics,"1 Oak Hill Road, Unit B, Fitchburg, MA 01420","Cultivation, Tier 8 – Indoor",MTC,Revolutionary Clinics Executive Summary
Revolutionary Clinics,"1 Oak Hill Road, Unit B, Fitchburg, MA 01420",Product Manufacturer,MTC,Revolutionary Clinics Executive Summary
"RISE Holdings, Inc.","169 Meadow Street, Amherst, MA 01002",Retailer,MTC,"RISE Holdings, Inc Executive Summary"
"RISE Holdings, Inc.","28 Appleton Street, Holyoke, MA 01040","Cultivation, Tier 11 – Indoor",MTC,"RISE Holdings, Inc Executive Summary"
"RISE Holdings, Inc.","28 Appleton Street, Holyoke, MA 01040",Product Manufacturer,MTC,"RISE Holdings, Inc Executive Summary"
"Riverrun Gardens, LLC","5 Perkins Way, Unit 8, Newburyport, MA 01950",Microbusiness,"DBE, Microbusiness","Riverrun Gardens, LLC Executive Summary"
"River Valley Growers, Inc.","58 Main Street, Hatfield, MA 01038","Cultivation, Tier 11 – Outdoor",Outdoor Cultivator,"River Valley Growers, Inc. Executive Summary"
"Rockland Old Exit 14, Inc.","1015 Hingham St., Rockland, MA 02370",Marijuana Retailer,General,"Rockland Old Exit 14, Inc. Executive Summary"
"Rolling Releaf, LLC","69 Adams Street, 2nd Floor, Newton, MA 02458",Marijuana Delivery Operator,SEP,"Rolling Releaf, LLC Executive Summary"
"Rooted In, LLC d/b/a Rooted in Roxbury","331 Newbury Street, Boston, MA 02115",Retailer,SEP,"Rooted In, LLC d/b/a Rooted in Roxbury Executive Summary"
"Royal Sun Farm, LLC","69 Gardner Rd, Hubbardston, MA 01452","Cultivation, Tier 6 – Outdoor",Outdoor Cultivator and SEP,"Royal Sun Farm, LLC Executive Summary"
"SafeTiva Labs, LLC","109 Apremont Way, Westfield, MA 01085",Independent Testing Laboratory,Independent Testing Laboratory,"SafeTiva Labs, LLC Executive Summary"
" Salisbury Cultivation and Product Manufacturing, LLC d/b/a Leaf Laboratories"," 187 Lafayette Road, Salisbury, MA 019952",Product Manufacturer,General," Salisbury Cultivation and Product Manufacturing, LLC d/b/a Leaf Laboratories Executive Summary"
" Salisbury Cultivation and Product Manufacturing, LLC d/b/a Root and Bloom"," 187 Lafayette Road, Salisbury, MA 019952","Cultivation, Tier 3 – Indoor",General," Salisbury Cultivation and Product Manufacturing, LLC d/b/a Root and Bloom Executive Summary"
"Salty Farmers, LLC","182 Brackett Road Eastham, MA 02651",Retailer,General,"Salty Farmers, LLC Executive Summary"
Sanctuary Medicinals,"234 Taylor Street, Littleton, MA 01460","Cultivation, Tier 5 – Indoor",MTC,Sanctuary Medicinals Executive Summary
Sanctuary Medicinals,"234 Taylor Street, Littleton, MA 01460",Product Manufacturer,MTC,Sanctuary Medicinals Executive Summary
Sanctuary Medicinals,"16 Pearson Boulevard, Gardner, MA 01440",Retailer,MTC,Sanctuary Medicinals Executive Summary
Sanctuary Medicinals,"1351 Beacon Street, Brookline, MA 02446",Retailer,MTC,Sanctuary Medicinals Executive Summary
Silver Therapeutics,"238 Main Street, Williamstown, MA 01267",Retailer,MTC,Silver Therapeutics Executive Summary
Silver Therapeutics,"5 South Main Street, Orange, MA 10364",Retailer,MTC,Silver Therapeutics Executive Summary
"SIRA Naturals, Inc.","13 Commercial Way, Milford, MA 01757","Cultivation, Tier 3 – Indoor",MTC,"SIRA Naturals, Inc. Executive Summary"
"SIRA Naturals, Inc.","13 Commercial Way, Milford, MA 01757",Product Manufacturer,MTC,"SIRA Naturals, Inc. Executive Summary"
"SIRA Naturals, Inc.","13 Commercial Way, Milford, MA 01757",Marijuana Transporter with Other Existing Marijuana Establishment License,MTC,"SIRA Naturals, Inc. Executive Summary"
"SIRA Naturals, Inc.","1 Industrial Road, Milford, MA 01757","Cultivation, Tier 3 – Indoor",MTC,"SIRA Naturals, Inc. Executive Summary"
"SIRA Naturals, Inc.","5-7 Industrial Road, Milford, MA 01757","Cultivation, Tier 8 – Indoor",MTC,"SIRA Naturals, Inc. Executive Summary"
"SIRA Naturals, Inc.","5-7 Industrial Road, Milford, MA 01757",Product Manufacturer,MTC,"SIRA Naturals, Inc. Executive Summary"
"SIRA Naturals, Inc. d/b/a AYR Wellness ","240 Elm Street, Somerville, MA 02144",Retailer,General,"SIRA Naturals, Inc. Executive Summary"
"SIRA Naturals, Inc. d/b/a AYR Wellness ","827-829 Boylston Street, Boston, MA 02116 ",Retailer,General,"SIRA Naturals, Inc. d/b/a AYR Wellness Executive Summary"
"SIRA Naturals, Inc. d/b/a AYR Wellness ","1274 Merrimack Street, Dracut, MA 01826 ",Retailer,General,"SIRA Naturals, Inc. d/b/a AYR Wellness Executive Summary"
"Slang, LLC d/b/a Bloom Brothers","2 Larch Street, Pittsfield, MA 01201",Retailer,General,"Slang, LLC d/b/a Bloom Brothers Executive Summary"
"Smithers AMS, LLC","790 Main Street, Wareham, MA 02571",Independent Testing Laboratory,Independent Testing Laboratory,"Smithers AMS, LLC Executive Summary"
"Solar Retail Norton, LLC d/b/a CANA Craft Cannabis","242 Mansfield Avenue, Norton, MA 02766",Retailer,General,"Solar Retail Norton, LLC d/b/a CANA Craft Cannabis Executive Summary"
"Solar Therapeutics, Inc.","1735 Fall River Avenue, Seekonk, MA 02771",Retailer,General,"Solar Therapeutics, Inc. Executive Summary"
"Solar Therapeutics, Inc.","1400 Brayton Point Road, Somerset, MA 02725","Cultivation, Tier 5 – Indoor",General,"Solar Therapeutics, Inc. Executive Summary"
"Solar Therapeutics, Inc.","1400 Brayton Point Road, Somerset, MA 02725",Retailer,General,"Solar Therapeutics, Inc. Executive Summary"
"Solar Therapeutics, Inc.","1400 Brayton Point Road, Somerset, MA 02725",Product Manufacturer,General,"Solar Therapeutics, Inc. Executive Summary"
"Southcoast Apothecary, LLC d/b/a Ascend","95 Coggeshall Street, New Bedford, MA 02746",Retailer,General,"Southcoast Apothecary, LLC d/b/a Ascend Executive Summary"
"Spencer House, LLC d/b/a Canna Corner","3235 Main Street, Becket, MA 01223",Retailer,General,"Spencer House, LLC d/b/a Canna Corner Executive Summary"
"Stafford Green, Inc.","80 Stafford Hill Road, Cheshire, MA 01225","Cultivation, Tier 5 – Outdoor",Outdoor Cultivator,"Stafford Green, Inc. Executive Summary"
"Sun Drops, LLC ","39 Silver Street, Sheffield, MA 01257",Product Manufacturer,DBE,"Sun Drops, LLC Executive Summary"
" Supercritical Mass Laboratories, Inc.","251 Brooks Street, Worcester, MA 01606",Product Manufacturer,General,"Supercritical Mass Laboratories, Inc. Executive Summary"
"T. Bear, Inc.","3103 Cranberry Highway, East Wareham, MA 02538",Product Manufacturer,General,"T. Bear, Inc. Executive Summary"
"TDMA, LLC","74 Grafton Street, Worcester, MA 01604",Retailer,MTC,"TDMA, LLC Executive Summary"
Temescal Wellness,"252 Coolidge Street, Hudson, MA 01749",Retailer,MTC,Temescal Wellness Executive Summary
Temescal Wellness,"10 Callahan Drive, Pittsfield, MA 01201",Retailer,MTC,Temescal Wellness Executive Summary
Temescal Wellness,"141 SW Cutoff, Worcester, MA 01604","Cultivation, Tier 2 – Indoor",MTC,Temescal Wellness Executive Summary
Temescal Wellness,"141 SW Cutoff, Worcester, MA 01604",Product Manufacturer,MTC,Temescal Wellness Executive Summary
Temescal Wellness,"665 Cochituate Road, Suite 1B, Framingham, MA 01701",Retailer,MTC,Temescal Wellness Executive Summary
"Temple Hill Collective, Inc. ","154 Quabbin Blvd, Orange, MA 01364",Product Manufacturer,General,"Temple Hill Collective, Inc. Executive Summary"
"Terpene Journey, LLC","430 Paradise Road, Swampscott, MA 01907",Retailer,SEP,"Terpene Journey, LLC Executive Summary"
"The Blue Jay Botanicals, Inc. d/b/a The Boston Garden Dispensary","22 Chestnut Hill Avenue, Athol, MA 01331",Retailer,EEA,"The Blue Jay Botanicals, Inc. d/b/a The Boston Garden Dispensary Executive Summary"
"The Botanist, Inc.","1775 Lock Drive, Leominster, MA 01453",Product Manufacturer,General,"The Botanist, Inc. Executive Summary"
"The Botanist, Inc.","65 Pullman Street, Worcester, MA 01606",Retailer,MTC,"The Botanist, Inc. Executive Summary"
"The Botanist, Inc.","235 Hartford Turnpike, Shrewsbury, MA 01545",Retailer,MTC,"The Botanist, Inc. Executive Summary"
The Caregiver-Patient Connection,"295 Vernon Ave. Barre, MA 01005","Cultivation, Tier 2 – Outdoor",MTC,The Caregiver-Patient Connection Executive Summary
"The Fresh Connection Boston, LLC","175-195 Kimball Street, Fitchburg, MA 01420","Cultivation, Tier 2 – Indoor",General,"The Fresh Connection Boston, LLC Executive Summary"
"The Green Lady Dispensary, Inc.","11 Amelia Dr, Nantucket, MA 02554","Cultivation, Tier 1 – Indoor","DBE, MTC","The Green Lady Dispensary, Inc. Executive Summary"
"The Green Lady Dispensary, Inc.","11 Amelia Dr, Nantucket, MA 02554",Product Manufacturer,"DBE, MTC","The Green Lady Dispensary, Inc. Executive Summary"
"The Green Lady Dispensary, Inc.","11 Amelia Drive, Nantucket, MA 02554",Retailer,"DBE, MTC","The Green Lady Dispensary, Inc. Executive Summary"
"The Haven Center, Inc. ","1308-310 Commercial Street (Units A3, A4 and A5), Provincetown, MA 02657",Retailer,MTC,"The Haven Center, Inc. Executive Summary"
"The Headyco, LLC","4 Lachance Street, Gardner, MA 01440","Cultivation, Tier 2 – Indoor",General,"The Headyco, LLC Executive Summary"
"The Healing Center, LLC","346 River Street, Fitchburg, MA 01420",Retailer,General,"The Healing Center, LLC"
"The Heirloom Collective, Inc.","87 Northfield Rd, Bernardston, MA 01337","Cultivation, Tier 2 – Indoor ",MTC," The Heirloom Collective, Inc. Executive Summary"
"The Heirloom Collective, Inc.","87 Northfield Rd, Bernardston, MA 01337",Product Manufacturer,MTC," The Heirloom Collective, Inc. Executive Summary"
"The Heirloom Collective, Inc.","457 Russell Street, Hadley, MA 01035",Retailer,MTC,"The Heirloom Collective, Inc. Executive Summary"
"The Old Bank, LLC d/b/a The Piping Plover","10 Main Street, Wellfleet, MA 02667",Retailer,General,"The Old Bank, LLC d/b/a The Piping Plover Executive Summary"
Theory Wellness,"394 Stockbridge Road, Great Barrington, MA 01230",Retailer,MTC,Theory Wellness Executive Summary
Theory Wellness,"1050 Elm Street, Bridgewater, MA 02324","Cultivation, Tier 1 – Indoor",MTC,Theory Wellness Executive Summary
Theory Wellness,"1050 Elm Street, Bridgewater, MA 02324",Product Manufacturer,MTC,Theory Wellness Executive Summary
Theory Wellness,"237 Bow Wow Road, Sheffield, MA 01257","Cultivation, Tier 6 – Outdoor",MTC,Theory Wellness Executive Summary
"The Harvest Club, LLC d/b/a The Goods ","255 Elm Street, Somerville, MA 02144",Retailer,SEP,"The Harvest Club, LLC d/b/a The Goods Executive Summary"
Theory Wellness,"672 Fuller Road, Chicopee, MA 01020",Retailer,MTC,Theory Wellness Executive Summary
"The Verb is Herb, LLC","74 Cottage Street, Easthampton, MA 01027",Retailer,General,"The Verb is Herb, LLC Executive Summary"
"Thrive Cultivation and Dispensary, LLC d/b/a Boom X Cannabis Company","114 Lancaster Road, Shirley, MA 01464",Retailer,General,"Thrive Cultivation and Dispensary, LLC d/b/a Boom X Cannabis Company Executive Summary"
"Tigertown, LLC d/b/a Dazed Cannabis","56 Jackson Street, Holyoke, MA 01040",Retailer,DBE,"Tigertown, LLC d/b/a Dazed Cannabis Executive Summary"
"Toy Town Project, LLC d/b/a Toy Town Alternative Health","63 Maple Street, Winchendon, MA 01475",Retailer,General,"Toy Town Project, LLC d/b/a Toy Town Alternative Health Executive Summary"
"Tower Three, LLC","30 Sherwood Drive, Taunton, MA 02780","Cultivation, Tier 2 –Indoor ",General,"Tower Three, LLC Executive Summary"
"Treevit, LLC","134 Chestnut Hill Ave., Athol, MA 01331",Delivery Courier,SEP,"Treevit, LLC Executive Summary"
"Treeworks of Massachusetts, LLC","3 West Street, Hatfield, MA 01088",Product Manufacturer,General,"Treeworks of Massachusetts, LLC Executive Summary"
"TSC Operations, LLC","56 Industrial Dr., Units A and B, Uxbridge, MA 01569",Product Manufacturer,SEP,"TSC Operations, LLC Executive Summary"
" Turnbuckle Consulting, Inc., d/b/a Budhaus ","239 West St., Pittsfield, MA 01201","Cultivation, Tier 1 – Indoor",General,"Turnbuckle Consulting, Inc., d/b/a Budhaus Executive Summary"
"Turning Leaf Centers Northampton, LLC","261 King Street, Northampton, MA 01060",Retailer,General,"Turning Leaf Centers Northampton, LLC Executive Summary"
"Tyca Green, Inc. ","470 Main Street, Clinton, MA 01510",Retailer,General,Tyca Green Inc. Executive Summary
"Tyca Green, Inc. d/b/a Society Cannabis Co.","470 Main Street, Clinton, MA 01510",Product Manufacturer,General,"Tyca Green, Inc. d/b/a Society Cannabis Co. Executive Summary"
"Uma Flowers, LLC","2 Tarbell Street, Pepperell, MA 01463",Retailer,DBE,"Uma Flowers, LLC Executive Summary"
"Union Twist, Inc.","630 Worcester Road, Framingham, MA 01702",Retailer,General,"Union Twist, Inc. Executive Summary"
"United Cultivation, LLC","601-603 Fitchburg State Road, Ashby, MA 01431",Retailer,General,"United Cultivation, LLC Executive Summary"
"VanGarden Cannabis, LLC","88 Huntoon Memorial Highway, Leicester, MA 01542","Cultivation, Tier 8 – Indoor",General,"VanGarden Cannabis, LLC Executive Summary"
"VanGarden Cannabis, LLC","88 Huntoon Memorial Highway, Leicester, MA 01542",Product Manufacturer,General,"VanGarden Cannabis, LLC Executive Summary"
"Vedi Naturals, LLC d/b/a Kosa","505 Boston Post Road West, Unit F G, Marlborough, MA 01752",Retailer,General,"Vedi Naturals, LLC d/b/a Kosa Executive Summary"
"Verdant Reparative, Inc. d/b/a Apex Noire","150 State Street, Boston, MA 02109",Retailer,SEP,"Verdant Reparative, Inc. d/b/a Apex Noire Executive Summary"
"Volcann, LLC d/b/a Dreamer","15 College Highway, Unit G2, Southampton, MA 01073",Retailer,General,"Volcann, LLC d/b/a Dreamer Executive Summary"
"Webber Road Ops, LLC d/b/a Pioneer Cannabis Company","275 Sturbridge Road, Brimfield, MA 01010",Retailer,General,"Webber Road Ops, LLC d/b/a Pioneer Cannabis Company Executive Summary"
"We Can Deliver, LLC","22 Chestnut Hill Avenue, Athol, MA 01331",Delivery Courier,"SEP, DBE","We Can Deliver, LLC Executive Summary"
"Wellman Farm, Inc. ","108 West Leyden Road, Colrain, MA 01340","Cultivation, Tier 1 – Outdoor","Outdoor Cultivator
"," Wellman Farm, Inc. Executive Summary"
"Wellman Farm, Inc. ","26 Wellman Street, Lowell, MA 02851",Product Manufacturer,"DBE
"," Wellman Farm, Inc. Executive Summary"
"Wellman Farm, Inc. ","26 Wellman Street, Lowell, MA 02851","Cultivation, Tier 2 – Indoor",DBE," Wellman Farm, Inc. Executive Summary"
"Western Front, LLC "," 567-569 Massachusetts Avenue, Cambridge, MA 02139",Retailer,EEA," Western Front, LLC"
"Western Front, LLC ","121 Webster Avenue, Chelsea, MA 02150",Retailer,General,"Western Front, LLC Executive Summary"
"Wiseacre Farms, Inc.","276 Great Barrington Road, West Stockbridge, MA 01266","Cultivation, Tier 1 – Outdoor","Outdoor Cultivator
","Wiseacre Farms, Inc. Executive Summary"
"Zip Run, Inc. d/b/a Zyp Run","1170 William T. Morrisey Boulevard, Boston, MA 02122",Delivery Courier,SEP,"Zip Run, Inc. d/b/a Zyp Run Executive Summary"
Inner HTML: "Name"
Inner HTML: "Cultivation/Product Manufacturing Location"
Inner HTML: "Dispensary Location"
Inner HTML: "Executive Summary"
Name,Cultivation/Product Manufacturing Location,Dispensary Location,Executive Summary
" ACK Natural, Inc.","19 Spearhead Drive, Nantucket, MA 02254","19 Spearhead Drive, Nantucket, MA 02254",Not available.
"Alternative Compassion Services, Inc.","693 Elm Street, Bridgewater, MA 02034","175 George Washington Boulevard, Hull, MA 02045","Alternative Compassion Services, Inc. Executive Summary"
" Alternative Compassion Services, Inc.","693 Elm Street, Bridgewater, MA 02034","693 Elm Street, Bridgewater, MA 02034",Not available.
"Alternative Therapies Group II, Inc.","107 Elm Street, Salisbury, MA 01952","107 Elm Street, Salisbury, MA 01952","Alternative Therapies Group II, Inc. Executive Summary"
"Alternative Therapies Group II, Inc.","107 Elm Street, Salisbury, MA 01952","49 Macy Street, Amesbury, MA 01913","Alternative Therapies Group II, Inc. Executive Summary"
"Alternative Therapies Group II, Inc.","107 Elm Street, Salisbury, MA 01952","50 Grove Street, Salem, MA 15637",Not available.
"Apothca, Inc. ","99 Development Road, Fitchburg, MA 01420","491 Lynnway, Lynn, MA 01905",Not available.
"Apothca, Inc. ","99 Development Road, Fitchburg, MA 01420","1386 Massachusetts Avenue, Arlington, MA 02476",Not available.
"ARL Healthcare, Inc. ","177 John Vertente Boulevard, New Bedford, MA 02745","29 Harding Street, Middleborough, MA 02346","ARL Healthcare, Inc. Executive Summary"
"Atlantic Medicinal Partners, Inc.","774 Crawford Street, Fitchburg, MA 01420","774 Crawford Street, Fitchburg, MA 01420","Atlantic Medicinal Partners, Inc. Executive Summary"
"Bask, Inc. ","7 Campanelli Drive, Freetown, MA 02702","2 Pequod Road, Fairhaven, MA 02719",Not available.
"Beacon Compassion Center, Inc.","30 Franklin McKay Road, Attleboro, MA 02703","315 Worcester Road, Framingham, MA 01701","Beacon Compassion Center, Inc. Executive Summary"
" Berkshire Roots, Inc.","501 Dalton Avenue, Pittsfield, MA 01201","501 Dalton Avenue, Pittsfield, MA 01201",Not available.
" BeWell Organic Medicine, Inc.","92 Bolt Street, Lowell, MA 01852","17 Broad Street, Merrimac, MA 01860","BeWell Organic Medicine, Inc. Executive Summary"
"Bountiful Farms, Inc.","200 Kenneth Welch Drive, Lakeville, MA 02347","13 Mercer Road, Natick, MA 01760","Bountiful Farms, Inc. Executive Summary"
"Central Ave. Compassionate Care, Inc.","31 Central Avenue, Ayer, MA 01432","31 Central Avenue, Ayer, MA 01432",Not available.
"Coastal Healing, Inc.","248 State Road, Westport, MA 02792","248 State Road, Westport, MA 02792","Coastal Healing, Inc. Executive Summary"
"CommCan, Inc.","2 Marc Road, Medway, MA 02053","1525 Main Street, Millis, MA 02054",Not available.
"CommCan, Inc.","2 Marc Road, Medway, MA 02053","255 Turnpike Road, Southborough, MA 01772","CommCan, Inc. Executive Summary"
" Commonwealth Alternative Care, Inc.","30 Mozzone Blvd, Taunton, MA 02780","30 Mozzone Blvd, Taunton, MA 02780",Not available.
" Commonwealth Alternative Care, Inc.","30 Mozzone Blvd, Taunton, MA 02780","1385 Cambridge Street, Cambridge, MA 02139","Commonwealth Alternative Care, Inc. Executive Summary"
" Commonwealth Alternative Care, Inc.","30 Mozzone Road, Taunton, MA 02780","1090 West Chestnut Street, Brockton, MA 02301","Commonwealth Alternative Care, Inc. Executive Summary"
"Cresco HHH, LLC","1 West Street, Fall River, MA 02720","1 West Street, Fall River, MA 02720",Not available.
" Cultivate Leicester, Inc.","1764 Main Street, Leicester, MA 01524","1764 Main Street, Leicester, MA 01524",Not available.
" Cultivate Leicester, Inc.","100 Campanelli Drive, Uxbridge, MA 01569","250 Worcester Road, Framingham, MA 01702","Cultivate Leicester, Inc. Executive Summary"
" Curaleaf Massachusetts, Inc.","30 Worcester Road, Webster, MA 01570","2001 Washington Street, Hanover, MA 02339",Not available.
" Curaleaf North Shore, Inc.","10 Industrial Way, Amesbury, MA 01913","425 Main Street, Oxford, MA 01540",Not available.
"Ermont, Inc.","216 Ricciuti Drive, Quincy, MA 02169","216 Ricciuti Drive, Quincy, MA 02169",Not available.
"FFD Enterprises MA, Inc. d/b/a Fine Fettle Dispensary","90 Dr. Fisher Road, West Tisbury, MA 02575","510 State Road, West Tisbury, MA 02575","FFD Enterprises MA, Inc. d/b/a Fine Fettle Dispensary Executive Summary"
"FFD Enterprises MA, Inc. d/b/a Fine Fettle Dispensary","120 Bullards Crossing Road, Hinsdale, MA 01235","116 Newburyport Turnpike, Rowley, MA 01969","FFD Enterprises MA, Inc. d/b/a Fine Fettle Dispensary Executive Summary"
"Four Daughters Compassionate Care, Inc. /a>","1200 General Edwards Highway, Sharon, MA 02067","2 Merchant Street, Suite 1, Sharon, MA 020677","Four Daughters Compassionate Care, Inc. Executive Summary"
"Garden Remedies, Inc.","307 Airport Road, Fitchburg, MA 01420","416 Boston Post Road East, Marlborough, MA 01752",Not available.
"Garden Remedies, Inc.","307 Airport Road, Fitchburg, MA 01420","732 Newburyport Turnpike, Melrose, MA 02176",Not available.
"Garden Remedies, Inc.","307 Airport Road, Fitchburg, MA 01420","697 Washington Street, Newton, MA 02458",Not available.
" Good Chemistry of Massachusetts, Inc.","20 William Way, Bellingham, MA 02019","9 Harrison Street, Worcester, MA 01604",Not available.
" Green Gold Group, Inc.","60 Prospect Street, North Brookfield, MA 01535","46 Worcester Road, Charlton, MA 01507","Green Gold Group, Inc. Executive Summary"
" Greencare Collective, Inc. d/b/a Plant ","12 Latti Farm Road, Millbury, MA 01527 ","12 Latti Farm Road, Millbury, MA 01527 ","Greencare Collective, Inc. d/b/a Plant Executive Summary"
"Healthy Pharms, Inc.","401 East Main Street, Georgetown, MA 01833","98 Winthrop Street, Cambridge, MA 02138",Not available.
"Healthy Pharms, Inc.","401 East Main Street, Georgetown, MA 01833","401 East Main Street, Georgetown, MA 01833",Not available.
" Heka, Inc.","98 Sgt. TM Dion Way, Westfield, MA 01085","98 Sgt. TM Dion Way, Westfield, MA 01085",Not available.
" Holistic Health Group, Inc. d/b/a Suncrafted ","477 Wareham Street, Middleborough, MA 02346","477 Wareham Street, Middleborough, MA 02346","Holistic Health Group, Inc. d/b/a Suncrafted Executive Summary"
"Holistic Industries, Inc. d/b/a Liberty Cannabis ","96 Palmer Road, Monson, MA 01057","304 Somerville Avenue, Somerville, MA 02143",Not available.
"Holistic Industries, Inc. d/b/a Liberty Cannabis","96 Palmer Road, Monson, MA 01057","155 Northampton Street, Easthampton, MA 01027","Holistic Industries, Inc. d/b/a Liberty Cannabis Executive Summary"
"HVV Massachusetts, Inc.","38 Great Republic Drive, Gloucester, MA 01938","220 William F. McClellan Highway, Boston, MA 02128","HVV Massachusetts, Inc. Executive Summary"
"HVV Massachusetts, Inc.","38 Great Republic Drive, Gloucester, MA 01938","38 Great Republic Drive, Gloucester, MA 01938","HVV Massachusetts, Inc. Executive Summary"
"In Good Health, Inc. ","1200 West Chestnut Street, Brockton, MA 02301","449 Route 130, Sandwich, MA 02563","In Good Health, Inc. Executive Summary"
"In Good Health, Inc. ","1200 West Chestnut Street, Brockton, MA 02301","1200 West Chestnut Street, Brockton, MA 02301",Not available.
"I.N.S.A., Inc.","122 Pleasant Street, Suite 144, Easthampton, MA 01027","506 Cottage Street, Springfield, MA 01104",Not available.
"I.N.S.A., Inc.","122 Pleasant Street, Suite 144, Easthampton, MA 01027","122 Pleasant Street, Suite 144, Easthampton, MA 01027",Not available.
" KRD Growers, LLC","89 Parker Street, Clinton, MA 01510","89 Parker Street, Clinton, MA 01510","KRD Growers, LLC Executive Summary"
"Liberty Compassion, Inc. ","179 Brook Street, Clinton, MA 01510","591 Albany Street, Boston, MA 02118","Liberty Compassion, Inc. Executive Summary"
"Life Essence, Inc.","56 Canal Street, Holyoke, MA 01040","216 North King Street, Northampton, MA 01060","Life Essence, Inc. Executive Summary"
"M3 Ventures, Inc.","9 Collins Avenue, Plymouth, MA 02360","29 Echo Road, Mashpee, MA 02649",Not available.
"M3 Ventures, Inc.","9 Collins Avenue, Plymouth, MA 02360","9 Collins Avenue, Plymouth, MA 02360",Not available.
